Coords,PGC,Name1,Name2,Name3,RevHubble,BT,logD25,logD25err,RC3PositionAngle,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,PositionAngle,SemiMinorAxis
11h34m14.5s +49d02m35s,PGC 35736,IC 0709,MCG +08-21-057,,.E?....,,,,,,,113414.5+490235 I,"LOGD25,NOPA,NOAXIS,PANedMedian,",0.6560999495096017,29.0,0.6560999495096017
11h34m46.56s +48d57m21.996s,PGC 35780,IC 0711,MCG +08-21-062,,.E?....,,,,,,,113446.6+485721 I,"LOGD25,NOPA,NOAXIS,OFFSET 1.071 arcsec,PANedMedian,",0.6560999495096017,32.0,0.6560999495096017
11h34m49.3s +49d04m39s,PGC 35785,IC 0712,MCG +08-21-063,,.S?....,,1.04,.09,,.21,.07,113449.3+490439 I,"NOPA,PANedMedian,",0.5482390980715925,94.0,0.3380414876959909
11h35m00.012s +51d13m04.8s,PGC 35793,,UGC 06555      U,,.L..-*.,,1.01,.12,90,.09,.05,113500.2+511304,"OFFSET 1.939 arcsec,",0.511646496140377,90.0,0.4158818855513355
11h35m01.6s +54d51m01s,PGC 35797,NGC 3733,UGC 06554      P,VV 459,.SXS6*.,12.93,1.68,.03,170,.34,.04,1135 1.6+545101 N,,2.3931504616131916,170.0,1.0938808119747763
11h35m36.4s +54d56m54s,PGC 35840,NGC 3737,UGC 06563      P,,.LB....,,1.02,.09,,.02,.06,113536.4+545654 N,"NOPA,PANedMedian,",0.5235642740254498,76.0,0.5
11h35m48.7896s +54d31m26.004s,PGC 35856,NGC 3738,UGC 06565      R,ARP 234,.I..9..,12.13,1.40,.02,155,.12,.03,113548.5+543127 N,"OFFSET 2.711 arcsec,",1.2559432157547898,155.0,0.9527303589816234
11h36m06.18s +45d17m01.068s,PGC 35878,NGC 3741,UGC 06572      U,,.I..9..,14.3,1.31,.05,5,.26,.06,1136 6.0+451705 N,"OFFSET 4.367 arcsec,",1.0208689723347648,5.0,0.5610092271509818
11h36m30.5496s +49d07m52.86s,PGC 35908,,MCG +08-21-072,,.S?....,,.74,.14,,.00,.07,113630.7+490753,"NOPA,OFFSET 1.483 arcsec,PANedMedian,",0.27477043692881226,133.0,0.27477043692881226
11h36m30.744s +47d49m01.884s,PGC 35909,,UGC 06576      U,,.LB....,,1.14,.07,,.03,.03,113630.9+474901,"NOPA,OFFSET 1.803 arcsec,PANedMedian,",0.6901921323014423,51.0,0.6441247758465668
11h36m36.6552s +49d03m47.052s,PGC 35920,,MCG +08-21-074,,.S?....,,.74,.14,,.00,.07,113636.7+490346,"NOPA,OFFSET 1.140 arcsec,PANedMedian,",0.27477043692881226,58.0,0.27477043692881226
11h36m42.3s +54d50m45s,PGC 35926,IC 2943,CGCG 268-062   P,MK 0041,.S..1?.,,.59,.09,,.02,.05,113642.3+545045 I,"NOPA,PANedMedian,",0.19452257249714028,127.0,0.18576761454858623
11h36m48s +54d17m36s,PGC 35931,NGC 3756,UGC 06579      R,IRAS11340+5434,.SXT4..,12.11S,1.62,.02,177,.30,.02,113648.0+541736 N,,2.0843469173516773,177.0,1.04464806542702
11h36m54.1s +54d49m24s,PGC 35945,NGC 3759,UGC 06581      P,,.LX.0*.,14.24,1.04,.04,,.00,.08,113654.1+544924 N,"NOPA,PANedMedian,",0.5482390980715925,32.0,0.5482390980715925
11h36m58s +55d09m43s,PGC 35948,NGC 3759A,UGC 06582      P,IRAS11342+5526,.SX.5P.,,1.08,.06,,.04,.05,113658.0+550943 N,"NOPA,PANedMedian,",0.6011322173087066,36.0,0.5482390980715925
11h37m44.1s +47d53m35s,PGC 35999,NGC 3769,UGC 06595      R,,.SBR3*.,12.55S,1.49,.03,152,.50,.03,113744.1+475335 N,,1.5451477162567953,152.0,0.48861861047790534
11h37m50.2968s +56d08m42.072s,PGC 36000,,UGC 06596      U,VV 148,.IB.9..,,1.04,.06,140,.22,.05,113750.8+560836,"OFFSET 7.386 arcsec,",0.5482390980715925,140.0,0.33034672400379805
11h37m51.36s +47d52m52.788s,PGC 36008,NGC 3769A,MCG +08-21-077 R,IRAS11350+4809,.SB.9P*,,1.03,.08,71,.38,.06,113750.2+475254 N,"OFFSET 11.732 arcsec,HANDADJ PA,",0.5357596526188032,110.0,0.22334179607548157
11h39m20.76s +46d30m49.788s,PGC 36136,NGC 3782,UGC 06618      R,IRAS11366+4647,.SXS6*.,13.10S,1.22,.03,0,.19,.03,113920.7+463049 N,"OFFSET 1.002 arcsec,",0.8297934537187802,0.0,0.5357596526188031
11h39m22.4s +56d16m14s,PGC 36138,NGC 3780,UGC 06615      R,IRAS11366+5632,.SAS5*.,11.76V,1.49,.03,90,.10,.03,113922.4+561614 N,,1.5451477162567953,90.0,1.227354457842515
11h40m05.7s +45d56m32s,PGC 36188,A 1137+46,UGC 06628      U,,.SA.9..,13.18S,1.46,.04,,.00,.06,114005.7+455632 A,"NOPA,PANedMedian,",1.4420157515633028,75.0,1.4420157515633028
11h40m53.4192s +56d12m07.308s,PGC 36238,NGC 3804,UGC 06640      P,IRAS11381+5628,.SXS7..,,1.35,.03,120,.19,.04,114054.2+561207 N,"OFFSET 6.522 arcsec,",1.11936056928417,120.0,0.7227198853729637
11h41m16.6s +47d41m27s,PGC 36265,NGC 3811,UGC 06650      U,MK 0185,.SBR6*.,12.9,1.34,.05,160,.12,.06,114116.6+474127 N,,1.0938808119747765,160.0,0.8297934537187804
11h42m26.2896s +51d35m52.692s,PGC 36343,,UGC 06667      U,,.S..6*.,14.18S,1.53,.03,89,.89,.05,114225.4+513550,"OFFSET 8.715 arcsec,",1.6942207806960128,89.0,0.21825791612008297
11h42m44.9s +52d46m46s,PGC 36370,NGC 3824,UGC 06676      P,IRAS11400+5303,.SAS1$/,,1.13,.05,118,.29,.04,114244.9+524646 N,,0.6744814412958267,118.0,0.3459154854594682
